date,close_nq,return_nq
2009-09-28,1724.59,0.0
2009-09-29,1717.67,-0.00401254790993788
2009-09-30,1718.99,0.0007684828867011717
2009-10-01,1666.41,-0.030587728840772765
2009-10-02,1662.49,-0.0023523622637886543
2009-10-05,1675.64,0.00790982201396706
2009-10-06,1705.25,0.017670860089279206
2009-10-07,1710.45,0.0030494062454184956
2009-10-08,1717.79,0.004291268379666091
2009-10-09,1727.76,0.005803969053260305
2009-10-12,1729.63,0.0010823262490160523
2009-10-13,1730.27,0.00037002133404251403
2009-10-14,1754.26,0.013864888138845455
2009-10-15,1753.36,-0.0005130368360448667
2009-10-16,1739.32,-0.008007482775927333
2009-10-19,1756.68,0.009980912080583382
2009-10-20,1756.19,-0.00027893526424849213
2009-10-21,1753.56,-0.0014975600589913762
2009-10-22,1763.15,0.00546887474623059
2009-10-23,1753.63,-0.005399427161614123
2009-10-26,1746.75,-0.003923290545896241
2009-10-27,1722.46,-0.013905825103764147
2009-10-28,1682.06,-0.023454826236893767
2009-10-29,1711.27,0.017365611214819943
2009-10-30,1667.13,-0.025793708766004175
2009-11-02,1672.91,0.003467036163946391
2009-11-03,1679.2,0.0037599153570724297
2009-11-04,1680.67,0.0008754168651738947
2009-11-05,1721.09,0.02404993246740883
2009-11-06,1730.76,0.005618532441650448
2009-11-09,1768.4,0.02174767154313728
2009-11-10,1773.17,0.002697353539923064
2009-11-11,1782.95,0.005515545604764416
2009-11-12,1773.14,-0.005502117277545571
2009-11-13,1788.61,0.008724635392580282
2009-11-16,1807.56,0.010594819440794767
2009-11-17,1812.21,0.00257252871273983
2009-11-18,1801.74,-0.005777476120317204
2009-11-19,1773.19,-0.015845793510717354
2009-11-20,1764.39,-0.004962807144186399
2009-11-23,1792.94,0.016181229773462702
2009-11-24,1786.25,-0.003731301660959141
2009-11-25,1793.67,0.004153953813855971
2009-11-27,1765.46,-0.015727530705202164
2009-11-30,1767.43,0.0011158564906597057
2009-12-01,1787.71,0.011474287524824156
2009-12-02,1790.82,0.001739655760721659
2009-12-03,1782.91,-0.0044169709965266035
2009-12-04,1791.91,0.005047927264976826
2009-12-07,1783.65,-0.0046096065092554595
2009-12-08,1772.73,-0.0061222773526197205
2009-12-09,1789.7,0.009572805785426963
2009-12-10,1799.37,0.005403140191093447
2009-12-11,1792.06,-0.00406253299766024
2009-12-14,1809.09,0.009503030032476545
2009-12-15,1798.21,-0.006014073373906137
2009-12-16,1800.82,0.001451443379805406
2009-12-17,1778.27,-0.012522073277729029
2009-12-18,1807.36,0.016358595713811708
2009-12-21,1828.79,0.011857073300283405
2009-12-22,1839.51,0.005861799331798645
2009-12-23,1851.99,0.006784415414974543
2009-12-24,1869.84,0.009638280984238579
2009-12-28,1878.18,0.004460274675908149
2009-12-29,1872.02,-0.0032797708419853855
2009-12-30,1878.65,0.003541628828751975
2009-12-31,1860.31,-0.00976232933223331
2010-01-04,1886.7,0.014185807741720513
2010-01-05,1888.43,0.0009169449303016997
2010-01-06,1878.42,-0.005300699522884034
2010-01-07,1876.72,-0.0009050159176329231
2010-01-08,1892.59,0.008456242806598624
2010-01-11,1886.24,-0.0033551905061317555
2010-01-12,1861.79,-0.012962295360081422
