date,close_gc,return_gc
2009-09-28,991.22,0.0
2009-09-29,992.3,0.001089566392929786
2009-09-30,1007.75,0.015569888138667887
2009-10-01,999.85,-0.007839245844703524
2009-10-02,1002.99,0.003140471070660622
2009-10-05,1017.28,0.014247400273183164
2009-10-06,1041.96,0.024260773828247872
2009-10-07,1044.02,0.0019770432646166736
2009-10-08,1055.25,0.010756498917645185
2009-10-09,1049.15,-0.005780620705993722
2009-10-12,1056.93,0.0074155268550730735
2009-10-13,1064.43,0.007096023388493133
2009-10-14,1062.75,-0.00157830951777016
2009-10-15,1050.13,-0.01187485297577029
2009-10-16,1052.85,0.002590155504556435
2009-10-19,1064.8,0.011350144844944676
2009-10-20,1055.91,-0.008348985725018632
2009-10-21,1058.9,0.002831680730365216
2009-10-22,1060.45,0.001463783171215427
2009-10-23,1055.19,-0.004960158423310879
2009-10-26,1038.44,-0.01587391844122854
2009-10-27,1039.5,0.0010207619120987665
2009-10-28,1028.0,-0.011063011063011108
2009-10-29,1047.5,0.018968871595330672
2009-10-30,1045.7,-0.0017183770883054672
2009-11-02,1059.39,0.013091708903127053
2009-11-03,1084.6,0.02379671320288068
2009-11-04,1092.78,0.0075419509496588155
2009-11-05,1090.25,-0.002315196105345918
2009-11-06,1095.16,0.0045035542306810505
2009-11-09,1104.3,0.008345812484020554
2009-11-10,1105.54,0.0011228832744725192
2009-11-11,1117.88,0.011161966098015563
2009-11-12,1103.78,-0.0126131606254698
2009-11-13,1119.2,0.013970175216075686
2009-11-16,1139.6,0.018227305218012635
2009-11-17,1141.8,0.0019305019305020377
2009-11-18,1145.65,0.0033718689788055922
2009-11-19,1144.34,-0.0011434556801817042
2009-11-20,1150.48,0.005365538214167298
2009-11-23,1165.94,0.013437869411028425
2009-11-24,1168.97,0.002598761514314596
2009-11-25,1191.18,0.018999632154802937
2009-11-27,1177.79,-0.008877930558594316
2009-11-30,1179.57,0.0015113050713624343
2009-12-01,1196.36,0.014234000525615187
2009-12-02,1216.03,0.0164415393359858
2009-12-03,1207.64,-0.00689950083468327
2009-12-04,1162.4,-0.037461495147560586
2009-12-07,1158.3,-0.0035271851342052463
2009-12-08,1129.23,-0.025097125097125028
2009-12-09,1128.9,-0.00029223453149485046
2009-12-10,1130.12,0.001080698024625626
2009-12-11,1115.2,-0.01320213782607138
2009-12-14,1126.88,0.01047345767575325
2009-12-15,1125.17,-0.0015174641488002738
2009-12-16,1137.8,0.011224970448909799
2009-12-17,1098.75,-0.034320618737915254
2009-12-18,1112.53,0.012541524459613207
2009-12-21,1093.28,-0.017302904191347612
2009-12-22,1083.65,-0.008808356505195292
2009-12-23,1087.14,0.0032205970562451114
2009-12-24,1105.3,0.01670438030060506
2009-12-28,1106.46,0.001049488826563083
2009-12-29,1096.85,-0.008685356904000296
2009-12-30,1093.24,-0.003291243105255859
2009-12-31,1096.47,0.0029545205078482795
2010-01-04,1121.04,0.02240827382418109
2010-01-05,1118.02,-0.0026939270677228677
2010-01-06,1138.32,0.018157099157438905
2010-01-07,1131.56,-0.005938576147304753
2010-01-08,1137.28,0.0050549683622609365
2010-01-11,1151.76,0.012732132808103591
